"Group1ID","GroupDescription","Group1Abbrev","PolicyID","ClientCode","ClassAbbrev","UnderwriterAbbrev","PolicyNumber","InceptionDate","ExpiryDate","NextExpiryDate","RenewalMonths","Outstanding","Endorsement","Instalment","Claim","PolicyNotes","Funded","Base","UWLevy","FSL","SDuty","Fee","CompanyEQ","Premium","Percentage","Comm","CommissionCEQ","NetPrem","TotalPremium","BaseTax","UWLevyTax","FSLTax","SDutyTax","FeeTax","CompanyEQTax","TotalPremTax","CommTax","CommissionCEQTax","NetPremTax","NetPremTotal","NoOfPolicies","GrandTotalPrem","AgencyText","PolicyAccountManager","FireLevyPrompt","UWLevyPrompt","ClientID","ClassCode","ClassDescription","Admin","AdminTax","AdminFeePrompt","Special","SpecialTax","SpecialPrompt","PrimaryAssocAbbrev","PrimaryAssocComm","PrimaryAssocCommTax","PrimaryAssocCommSum","PrimaryAssocCommTaxSum","SecondaryAssocAbbrev","SecondaryAssocComm","SecondaryAssocCommTax","SecondaryAssocCommSum","SecondaryAssocCommSumTax","IsSubAssociate"
"1582","Account Manager: ","AnneM Goodchild","931075244","ZUBIET K","Pleasure Craft","Club Marine","V228547","","2026-07-12 00:00:00","2027-07-12 00:00:00","12","","","","","P","","170.98","50.5","0","15.04","46.66","0","283.18","","34.19","0","202.33","310","22.15","0","0","0","4.67","0","26.82","3.42","0","18.73","221.06","","","","AnneM Goodchild","Fire Levy","UW Levy","12612349","PLEASURECR","Pleasure Craft Insurance","46.66","4.67","Broker Fee","0","0","Admin Fee","COASTAL","74.71","7.48","74.71","7.48","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931081089","POULTE J","Pleasure Craft","Club Marine","V236626","","2026-07-26 00:00:00","2027-07-26 00:00:00","12","","","","","P","","499.54","50.5","0","43.96","50.9","0","644.9","","99.91","0","494.09","705","55","0","0","0","5.1","0","60.1","9.99","0","45.01","539.1","","","","AnneM Goodchild","Fire Levy","UW Levy","12609887","PLEASURECR","Pleasure Craft Insurance","50.9","5.1","Broker Fee","0","0","Admin Fee","COASTAL","139.35","13.94","139.35","13.94","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931084605","ANDERS D2","Pleasure Craft","Club Marine","V244514","","2026-07-28 00:00:00","2027-07-28 00:00:00","12","","","","","P","","482.71","50.5","0","42.46","50.91","0","626.58","","96.55","0","479.12","685","53.33","0","0","0","5.09","0","58.42","9.65","0","43.68","522.8","","","","AnneM Goodchild","Fire Levy","UW Levy","12613192","PLEASURECR","Pleasure Craft Insurance","50.91","5.09","Broker Fee","0","0","Admin Fee","COASTAL","136.25","13.62","136.25","13.62","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931084910","IEPEMA J","Pleasure Craft","Club Marine","V193707","","2026-08-07 00:00:00","2027-08-07 00:00:00","12","","","","","P","","638.42","50.5","0","56.18","60","0","805.1","","127.68","0","617.42","880","68.9","0","0","0","6","0","74.9","12.77","0","56.13","673.55","","","","AnneM Goodchild","Fire Levy","UW Levy","12607826","PLEASURECR","Pleasure Craft Insurance","60","6","Broker Fee","0","0","Admin Fee","COASTAL","173.42","17.34","173.42","17.34","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931097389","BULLIM S","Pleasure Craft","NM INSUR","PRI-1055457","","2026-08-08 00:00:00","2027-08-08 00:00:00","12","","E","","","P","","364.56","120","0","40.1","56.25","0","580.91","","72.91","0","451.75","635","36.46","12","0","0","5.63","0","54.09","7.29","0","41.17","492.92","","","","AnneM Goodchild","Fire Levy","UW Levy","12614648","PLEASURECR","Pleasure Craft Insurance","56.25","5.63","Broker Fee","0","0","Admin Fee","COASTAL","119.34","11.94","119.34","11.94","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931097415","LUMB T","Pleasure Craft","NM INSUR","PRI-859934","","2026-08-10 00:00:00","2027-08-10 00:00:00","12","","E","","","P","","99.12","87","0","8.72","55.95","0","250.79","","19.82","0","175.02","275","9.91","8.7","0","0","5.6","0","24.21","1.98","0","16.63","191.65","","","","AnneM Goodchild","Fire Levy","UW Levy","12614170","PLEASURECR","Pleasure Craft Insurance","55.95","5.6","Broker Fee","0","0","Admin Fee","COASTAL","70.01","7","70.01","7","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931097431","KOUNAD C","Pleasure Craft","Club Marine","V259377","","2026-08-11 00:00:00","2027-08-11 00:00:00","12","","","","","P","","386.54","50.5","0","38.26","60","0","535.3","","77.31","0","397.99","585","43.7","0","0","0","6","0","49.7","7.73","0","35.97","433.96","","","","AnneM Goodchild","Fire Levy","UW Levy","12614174","PLEASURECR","Pleasure Craft Insurance","60","6","Broker Fee","0","0","Admin Fee","COASTAL","126.87","12.69","126.87","12.69","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931097698","MARGAR J","Pleasure Craft","Club Marine","V259426","","2026-08-11 00:00:00","2027-08-11 00:00:00","12","","","","","P","","670.42","50.5","0","58.99","52.73","0","832.64","","134.08","0","645.83","910","72.09","0","0","0","5.27","0","77.36","13.41","0","58.68","704.51","","","","AnneM Goodchild","Fire Levy","UW Levy","12614181","PLEASURECR","Pleasure Craft Insurance","52.73","5.27","Broker Fee","0","0","Admin Fee","COASTAL","172.61","17.26","172.61","17.26","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931098151","KUHNEL R","Pleasure Craft","Club Marine","V267879","","2026-08-14 00:00:00","2027-08-14 00:00:00","12","","","","","P","","680.51","50.5","0","59.89","60","0","850.9","","136.1","0","654.8","930","73.1","0","0","0","6","0","79.1","13.61","0","59.49","714.29","","","","AnneM Goodchild","Fire Levy","UW Levy","12614671","PLEASURECR","Pleasure Craft Insurance","60","6","Broker Fee","0","0","Admin Fee","COASTAL","181.2","18.12","181.2","18.12","","0","0","0","0",""
"1582","Account Manager: ","AnneM Goodchild","931098192","PETROV A","Pleasure Craft","NM INSUR","PRI-1058445","","2026-08-14 00:00:00","2027-08-14 00:00:00","12","","","","","P","","107.52","87","0","10.64","59.45","0","264.61","","21.5","0","183.66","290","10.75","8.7","0","0","5.94","0","25.39","2.15","0","17.3","200.96","","","","AnneM Goodchild","Fire Levy","UW Levy","12609655","PLEASURECR","Pleasure Craft Insurance","59.45","5.94","Broker Fee","0","0","Admin Fee","COASTAL","74.8","7.48","74.8","7.48","","0","0","0","0",""
